Ref,INDV,AltID,Sex,Study,Collection_Date,CollectionGeneral,Species,Type,Locality,Local_date,hetPer10Kb,F,heterozygosity
Canfam3.1,SRR7458264,RKW10660,M,2018,2008,2000s,Urocyon littoralis,Island,Santa Rosa,Santa Rosa 2000s,0.544495813,0.72412,5.44496E-05
Canfam4,SRR7458264,RKW10660,M,2018,2008,2000s,Urocyon littoralis,Island,Santa Rosa,Santa Rosa 2000s,0.5470538,0.72377,5.47054E-05
grayfox,SRR7458264,RKW10660,M,2018,2008,2000s,Urocyon littoralis,Island,Santa Rosa,Santa Rosa 2000s,0.470538219,0.75826,4.70538E-05
arcticfox,SRR7458265,RKW12355,F,2018,1988,1988,Urocyon littoralis,Island,Santa Rosa,Santa Rosa 1988,0.583469849,0.70781,5.8347E-05
Canfam3.1,SRR7458265,RKW12355,F,2018,1988,1988,Urocyon littoralis,Island,Santa Rosa,Santa Rosa 1988,0.577316472,0.7072,5.77316E-05
Canfam4,SRR7458265,RKW12355,F,2018,1988,1988,Urocyon littoralis,Island,Santa Rosa,Santa Rosa 1988,0.577953482,0.70788,5.77953E-05
grayfox,SRR7458265,RKW12355,F,2018,1988,1988,Urocyon littoralis,Island,Santa Rosa,Santa Rosa 1988,0.509960004,0.73791,5.0996E-05
arcticfox,SRR7458266,RKW11655,M,2018,2008,2000s,Urocyon littoralis,Island,San Miguel,San Miguel 2000s,0.270588743,0.86462,2.70589E-05
Canfam3.1,SRR7458266,RKW11655,M,2018,2008,2000s,Urocyon littoralis,Island,San Miguel,San Miguel 2000s,0.266906809,0.86474,2.66907E-05
Canfam4,SRR7458266,RKW11655,M,2018,2008,2000s,Urocyon littoralis,Island,San Miguel,San Miguel 2000s,0.267830951,0.86474,2.67831E-05
grayfox,SRR7458266,RKW11655,M,2018,2008,2000s,Urocyon littoralis,Island,San Miguel,San Miguel 2000s,0.186179458,0.90434,1.86179E-05
arcticfox,SRR7458267,RKW12297,M,2018,2000,2000s,Urocyon littoralis,Island,San Nicolas,San Nicolas 2000s,0.165455451,0.91722,1.65455E-05
Canfam3.1,SRR7458267,RKW12297,M,2018,2000,2000s,Urocyon littoralis,Island,San Nicolas,San Nicolas 2000s,0.161121435,0.91835,1.61121E-05
Canfam4,SRR7458267,RKW12297,M,2018,2000,2000s,Urocyon littoralis,Island,San Nicolas,San Nicolas 2000s,0.16088866,0.91875,1.60889E-05
grayfox,SRR7458267,RKW12297,M,2018,2000,2000s,Urocyon littoralis,Island,San Nicolas,San Nicolas 2000s,0.035464335,0.98178,3.54643E-06
arcticfox,SRR7458268,RKW13704,F,2018,2009,2000s,Urocyon littoralis,Island,San Clemente,San Clemente 2000s,0.390969705,0.80401,3.9097E-05
Canfam3.1,SRR7458268,RKW13704,F,2018,2009,2000s,Urocyon littoralis,Island,San Clemente,San Clemente 2000s,0.385003294,0.80452,3.85003E-05
Canfam4,SRR7458268,RKW13704,F,2018,2009,2000s,Urocyon littoralis,Island,San Clemente,San Clemente 2000s,0.384904616,0.80523,3.84905E-05
grayfox,SRR7458268,RKW13704,F,2018,2009,2000s,Urocyon littoralis,Island,San Clemente,San Clemente 2000s,0.241962247,0.87549,2.41962E-05
arcticfox,SRR7458269,RKW8695,F,2018,2008,2000s,Urocyon littoralis,Island,Santa Cruz,Santa Cruz 2000s,0.576885935,0.71138,5.76886E-05
Canfam3.1,SRR7458269,RKW8695,F,2018,2008,2000s,Urocyon littoralis,Island,Santa Cruz,Santa Cruz 2000s,0.566082329,0.71315,5.66082E-05
Canfam4,SRR7458269,RKW8695,F,2018,2008,2000s,Urocyon littoralis,Island,Santa Cruz,Santa Cruz 2000s,0.565004466,0.71467,5.65004E-05
grayfox,SRR7458269,RKW8695,F,2018,2008,2000s,Urocyon littoralis,Island,Santa Cruz,Santa Cruz 2000s,0.459256829,0.76404,4.59257E-05
arcticfox,SRR7458271,RKW11697,M,2018,2005,2000s,Urocyon littoralis,Island,Santa Catalina,Santa Catalina 2000s,0.869468328,0.56502,8.69468E-05
Canfam3.1,SRR7458271,RKW11697,M,2018,2005,2000s,Urocyon littoralis,Island,Santa Catalina,Santa Catalina 2000s,0.855995908,0.56627,8.55996E-05
Canfam4,SRR7458271,RKW11697,M,2018,2005,2000s,Urocyon littoralis,Island,Santa Catalina,Santa Catalina 2000s,0.860877013,0.56527,8.60877E-05
grayfox,SRR7458271,RKW11697,M,2018,2005,2000s,Urocyon littoralis,Island,Santa Catalina,Santa Catalina 2000s,0.794703886,0.59169,7.94704E-05
